,Frame-Id,Object-Id,Time-Taken,Check-Point-Type
0,2_1_14_2023-07-03T15_24_09.000040_3800_00000,1,0.0040531158447265625,inside_zone
1,2_1_14_2023-07-03T15_24_09.000040_3800_00000,0,0.002384185791015625,inside_zone
2,2_1_14_2023-07-03T15_24_09.000040_3800_00001,1,0.006198883056640625,inside_zone
3,2_1_14_2023-07-03T15_24_09.000040_3800_00001,0,0.007152557373046875,inside_zone
4,2_1_14_2023-07-03T15_24_09.000040_3800_00002,1,0.0069141387939453125,inside_zone
5,2_1_14_2023-07-03T15_24_09.000040_3800_00002,0,0.0054836273193359375,inside_zone
6,2_1_14_2023-07-03T15_24_09.000040_3800_00003,3,0.007152557373046875,inside_zone
7,2_1_14_2023-07-03T15_24_09.000040_3800_00003,2,0.0064373016357421875,inside_zone
8,2_1_14_2023-07-03T15_24_09.000040_3800_00003,1,0.0064373016357421875,inside_zone
9,2_1_14_2023-07-03T15_24_09.000040_3800_00003,0,0.0057220458984375,inside_zone
10,2_1_14_2023-07-03T15_24_09.000040_3800_00004,2,0.0069141387939453125,inside_zone
11,2_1_14_2023-07-03T15_24_09.000040_3800_00004,1,0.0073909759521484375,inside_zone
12,2_1_14_2023-07-03T15_24_09.000040_3800_00005,1,0.0073909759521484375,inside_zone
13,2_1_14_2023-07-03T15_24_09.000040_3800_00008,4,0.0069141387939453125,inside_zone
14,2_1_14_2023-07-03T15_24_09.000040_3800_00011,5,0.006198883056640625,inside_zone
15,2_1_7_2023-07-03T15_24_09.087072_3801_00046,0,0.6723403930664062,inside_zone
16,2_1_7_2023-07-03T15_24_09.087072_3801_00047,0,0.6024837493896484,inside_zone
17,2_1_7_2023-07-03T15_24_09.087072_3801_00048,0,0.2853870391845703,inside_zone
18,2_1_7_2023-07-03T15_24_09.087072_3801_00049,0,0.2818107604980469,inside_zone
19,2_1_7_2023-07-03T15_24_09.087072_3801_00050,0,0.2830028533935547,inside_zone
20,2_1_7_2023-07-03T15_24_09.087072_3801_00051,0,0.6163120269775391,inside_zone
21,2_1_7_2023-07-03T15_24_09.087072_3801_00052,0,0.2932548522949219,inside_zone
22,2_1_7_2023-07-03T15_24_09.087072_3801_00053,0,0.4322528839111328,inside_zone
23,2_1_7_2023-07-03T15_24_09.087072_3801_00054,0,0.2810955047607422,inside_zone
24,2_1_7_2023-07-03T15_24_09.087072_3801_00056,0,0.2810955047607422,inside_zone
25,2_1_6_2023-07-03T15_24_22.359489_3803_00031,0,0.6344318389892578,inside_zone
26,2_1_6_2023-07-03T15_24_22.359489_3803_00033,0,0.6170272827148438,inside_zone
27,2_1_6_2023-07-03T15_24_22.359489_3803_00035,0,0.2913475036621094,inside_zone
28,2_1_9_2023-07-03T15_24_37.361726_3805_00000,0,0.6768703460693359,inside_zone
29,2_1_9_2023-07-03T15_24_37.361726_3805_00001,0,0.6420612335205078,inside_zone
30,2_1_4_2023-07-03T15_24_37.468395_3806_00000,2,0.8485317230224609,inside_zone
31,2_1_4_2023-07-03T15_24_37.468395_3806_00000,1,0.43392181396484375,inside_zone
